,oid,mode,path,nsteps,nwalkers,af_mean,af_min,af_max,rhat_max,rhat_tstar,rhat_tdust,rhat_log10_tau,rhat_log10_a
0,ZTF18abjndhh,data,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF18abjndhh/mcmc_ZTF18abjndhh_data.npz,2000,24,0.29470833333333335,0.1985,0.3615,1.9293753535757159,1.7996508140778158,1.292414706799784,1.439031835222892,1.9293753535757159
1,ZTF18abjndhh,anchored,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF18abjndhh/mcmc_ZTF18abjndhh_anchored.npz,2000,24,0.46064583333333325,0.419,0.488,1.233661702516099,1.1660194935586246,1.0641347001531682,1.233661702516099,1.1680877290955665
2,ZTF18abjndhh,mixture,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF18abjndhh/mcmc_ZTF18abjndhh_mixture.npz,2000,24,0.312375,0.23,0.371,2.079153799140073,1.3954372031364786,1.2141183737835828,1.3600932123644478,2.079153799140073
3,ZTF19aadnxnl,data,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF19aadnxnl/mcmc_ZTF19aadnxnl_data.npz,2000,24,0.551625,0.518,0.574,1.0628969525525507,1.0627926696872543,1.048940260717295,1.0609583032412007,1.0628969525525507
4,ZTF19aadnxnl,anchored,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF19aadnxnl/mcmc_ZTF19aadnxnl_anchored.npz,2000,24,0.5698333333333333,0.5435,0.5955,1.0438248163296318,1.0372038917199793,1.0438248163296318,1.039952146118103,1.0373433945102464
5,ZTF19aadnxnl,mixture,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF19aadnxnl/mcmc_ZTF19aadnxnl_mixture.npz,2000,24,0.5626875,0.53,0.584,1.0433833730074331,1.0423027130209213,1.0414739331623997,1.0433833730074331,1.0432896515357086
6,ZTF19aclobbu,data,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF19aclobbu/mcmc_ZTF19aclobbu_data.npz,2000,24,0.33168749999999997,0.193,0.401,1.9095072214564244,1.4316406112841729,1.2406240896258027,1.9095072214564244,1.6160109517571462
7,ZTF19aclobbu,anchored,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF19aclobbu/mcmc_ZTF19aclobbu_anchored.npz,2000,24,0.541875,0.517,0.573,1.059616640913204,1.0384254733546943,1.0502544727503154,1.0399470939034188,1.059616640913204
8,ZTF19aclobbu,mixture,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF19aclobbu/mcmc_ZTF19aclobbu_mixture.npz,2000,24,0.3675,0.2415,0.425,1.9561052548996625,1.3525056331242256,1.1964549393330335,1.7702914770021092,1.9561052548996625
9,ZTF21aagtqna,data,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF21aagtqna/mcmc_ZTF21aagtqna_data.npz,2000,24,0.4302083333333333,0.3555,0.4685,1.1491409979349492,1.0723772378384833,1.1491409979349492,1.0999413918821934,1.0675456988226952
10,ZTF21aagtqna,anchored,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF21aagtqna/mcmc_ZTF21aagtqna_anchored.npz,2000,24,0.45685416666666673,0.0655,0.5075,2.1873735437429813,1.2871538588998686,1.2192623193771317,2.1873735437429813,1.1161041205311137
11,ZTF21aagtqna,mixture,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF21aagtqna/mcmc_ZTF21aagtqna_mixture.npz,2000,24,0.4435833333333333,0.3835,0.488,1.9756948840020392,1.0715468591698685,1.1517050207080566,1.1919625195808294,1.9756948840020392
12,ZTF21abnlhxs,data,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF21abnlhxs/mcmc_ZTF21abnlhxs_data.npz,2000,24,0.4592083333333334,0.029,0.5145,21.879652960456237,4.724117362053126,2.0356516131653737,21.879652960456237,8.000943486757025
13,ZTF21abnlhxs,anchored,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF21abnlhxs/mcmc_ZTF21abnlhxs_anchored.npz,2000,24,0.4114583333333333,0.0635,0.481,20.703263542353074,5.986200803968735,3.312534066987886,20.703263542353074,8.196789106266918
14,ZTF21abnlhxs,mixture,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF21abnlhxs/mcmc_ZTF21abnlhxs_mixture.npz,2000,24,0.46260416666666665,0.0295,0.51,21.91102128812408,4.910284358977518,2.0624358474100672,21.91102128812408,8.260945157407292
15,ZTF22aativsd,data,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF22aativsd/mcmc_ZTF22aativsd_data.npz,2000,24,0.5078541666666667,0.4305,0.5455,2.6065848104376492,1.2897949669791589,1.063136196667536,1.0789732670924534,2.6065848104376492
16,ZTF22aativsd,anchored,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF22aativsd/mcmc_ZTF22aativsd_anchored.npz,2000,24,0.5104583333333333,0.082,0.5695,3.0913813499251823,1.3023928361190682,1.2494641078982291,3.0913813499251823,1.1650092006380977
17,ZTF22aativsd,mixture,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF22aativsd/mcmc_ZTF22aativsd_mixture.npz,2000,24,0.5004583333333333,0.415,0.536,2.904484578352626,1.481070443804936,1.1083217007772472,1.570282853913561,2.904484578352626
18,ZTF23aanymcl,data,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF23aanymcl/mcmc_ZTF23aanymcl_data.npz,2000,24,0.4188541666666666,0.291,0.472,1.5223839850023586,1.4101610337327595,1.0821408428579395,1.137044497292877,1.5223839850023586
19,ZTF23aanymcl,anchored,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF23aanymcl/mcmc_ZTF23aanymcl_anchored.npz,2000,24,0.4874791666666667,0.4315,0.528,1.177828489873271,1.1206126651633475,1.0584369599220937,1.1256397091849013,1.177828489873271
20,ZTF23aanymcl,mixture,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF23aanymcl/mcmc_ZTF23aanymcl_mixture.npz,2000,24,0.4176041666666667,0.2285,0.468,1.229662255926197,1.229662255926197,1.0836539043106432,1.1903836883432675,1.152233417708308
21,ZTF23aaxadel,data,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF23aaxadel/mcmc_ZTF23aaxadel_data.npz,2000,24,0.34160416666666665,0.259,0.3945,1.6547453793639966,1.472596798133805,1.27011415758594,1.6547453793639966,1.2540484747582104
22,ZTF23aaxadel,anchored,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF23aaxadel/mcmc_ZTF23aaxadel_anchored.npz,2000,24,0.5064583333333333,0.447,0.537,1.1056649530094411,1.0905229436002877,1.0983774986923973,1.1056649530094411,1.0956518877808492
23,ZTF23aaxadel,mixture,/home/cal/analam/Documents/LL_typeIIP/mcmc_results/ZTF23aaxadel/mcmc_ZTF23aaxadel_mixture.npz,2000,24,0.40395833333333336,0.3,0.457,1.5815115743248362,1.156933322691783,1.14484394793244,1.5815115743248362,1.0902893482644593
