oid,n_estimates,log10_a_mean,log10_a_sys_std,log10_a_sys_halfrange,grid_blackbody_t2_log10_a,grid_blackbody_t5_log10_a,grid_template_t2_log10_a,grid_template_t5_log10_a,mcmc_blackbody_t2_log10_a,mcmc_blackbody_t2_log10_a_hi,mcmc_blackbody_t2_log10_a_lo,mcmc_blackbody_t5_log10_a,mcmc_blackbody_t5_log10_a_hi,mcmc_blackbody_t5_log10_a_lo,mcmc_template_t2_log10_a,mcmc_template_t2_log10_a_hi,mcmc_template_t2_log10_a_lo,mcmc_template_t5_log10_a,mcmc_template_t5_log10_a_hi,mcmc_template_t5_log10_a_lo
ZTF18abjndhh,8,-11.7372866260128,0.09994754430192977,0.15474162482169795,-11.756691391945022,-11.86090674033834,-11.760270629867211,-11.805325918480618,-11.595580552748789,0.6866459876303637,0.0632530982501524,-11.551423490694944,0.4777054330145862,0.050652693116838,-11.776933860316491,0.1108604234555752,0.2415884008292579,-11.791160423710979,0.1103034035691106,0.2157178152954326
ZTF19aadnxnl,8,-11.483765918983906,0.15903669510408402,0.19405081235818145,-11.388617632559399,-11.437254666100777,-11.632345321927255,-11.632345321927255,-11.270579013207803,0.054026182818033,0.0526309720641648,-11.244260715572011,0.0544545981108246,0.0554519716431851,-11.632362340288374,0.0052655502610772,0.0053539645394895,-11.632362340288374,0.0053719788390633,0.0054027519821922
ZTF19aarykkb,8,-11.747284469586477,0.4127088756687191,0.5230043757362894,-11.850775231628766,-11.931496322114741,-11.993993408703064,-12.05105595900136,-11.077167370737662,0.3432296305299402,0.3739895940426674,-11.005047207528781,0.3508111306424215,0.3989916028387501,-12.030324443539234,0.0943092438498833,0.1290453621951961,-12.038415813438208,0.0953890257059022,0.1253975036412278
ZTF19acbwejj,8,-12.390685656115103,0.07943609163956719,0.11152416706486257,-12.334016841475158,-12.344906778614178,-12.312628187576449,-12.319060064579125,-12.535676521706174,0.0396430494687543,0.039895018699779,-12.503369245892944,0.0397228588882985,0.0406580912591287,-12.398286327661516,0.0389246114198602,0.0434684962885398,-12.377541281415276,0.4342591475945845,0.046765551702105
ZTF19aclobbu,8,-12.642438851793337,0.10659579514150976,0.13280193985053668,-12.712230601668784,-12.703574449148945,-12.700119092608794,-12.71194326088124,-12.470084678130712,0.180374537213968,0.1135783380362109,-12.44662672196771,0.1799871195633287,0.1078859189777716,-12.693550706920986,0.1216532751683274,0.1115149342746395,-12.701381303019513,0.1252123520729533,0.1175325459082046
ZTF21aagtqna,8,-12.614898544375544,0.04098596506198644,0.07094368534500184,-12.650436679188664,-12.6744287105627,-12.628732760778787,-12.5949568390222,-12.588547406172893,0.0951221319524382,0.0924999503064238,-12.532541339872695,0.0957111504273431,0.0871479328050686,-12.638389645836812,0.0789149526499262,0.0640042736042652,-12.611154973569603,0.0812055499515107,0.0662870182700494
ZTF21abnlhxs,8,-11.335483189532745,0.4946304343479225,0.6693594773011631,-11.442090747985386,-11.514180791103307,-11.456481251024018,-11.517810705212206,-10.522368894157632,0.0309358866164135,0.0429790113757331,-10.52032534454632,0.032115013440233,0.0505576169295292,-11.851563483084444,2.2053972631970407,2.76072048003045,-11.859044299148646,2.2053972631970424,2.699391025842262
ZTF21abouuat,8,-11.801675231912721,0.22423602328283143,0.2862810195005929,-11.7833764585239,-11.764804975070021,-12.016351530833143,-11.967277809792428,-11.443789491831957,0.2893694365671848,0.2430506689739964,-11.448992770022041,0.2636847461159597,0.2167182263222429,-12.006524048273606,0.0203516609252609,0.0166310352775003,-11.98228477095468,0.0219864158848892,0.0170584511967817
ZTF21acpqqgu,8,-12.78564959399931,0.02130298832771974,0.03314058396735664,-12.797482432746047,-12.770426142409452,-12.796967237623903,-12.796381753856858,-12.737487978338365,0.0863519548283466,0.0799987641003223,-12.779035415063355,0.0859442803814811,0.0790182141475863,-12.803769146273078,3.470547597031008,2.398077782922469,-12.80364664568341,3.4699621132639624,2.398077782922469
ZTF22aativsd,8,-11.945967905320073,0.09755636354129232,0.12416064534377558,-11.792382291095839,-11.787846699891707,-12.003203488909694,-12.036167990579258,-11.950430226408207,0.0917744534625253,0.0765970245434957,-11.928050271298265,0.0918667599983766,0.0831342059017643,-12.035474080459029,0.0414738747197827,0.0437758868994002,-12.034188193918583,0.041243366602945,0.043609391701965
ZTF22aaywnyg,8,-11.094330501535032,0.3238036436267773,0.42933664035549235,-11.143185332654847,-11.133414413583719,-11.333618289593582,-11.352223654066645,-10.49355037335566,0.1029186246798161,0.1371550702490793,-10.616443277087766,0.0992671692113695,0.0983347735271653,-11.341780442010975,0.0087684889993067,0.0102109712596138,-11.340428229927051,0.0084859761707267,0.0087254496993836
ZTF22abtspsw,8,-12.043834416582175,0.051329945524789006,0.07933843341207325,-12.08441656962968,-12.023163552759605,-12.07196781786998,-12.10529472215707,-11.982387979495716,0.1415571155438293,0.1310752741188459,-11.946617855332924,0.1369647557773259,0.1172925590753148,-12.068220713477945,0.0790879146688592,0.074825372797763,-12.068606121934486,0.0800536383475538,0.0733953759820522
ZTF23aaxadel,8,-12.286431948860805,0.060975287336868,0.08810363328898951,-12.266722219354307,-12.282926893291696,-12.336512599958544,-12.338830515996268,-12.224364038058338,0.2486255566050665,0.0944558555114891,-12.164865455642325,0.2590323896720221,0.1036132262594158,-12.341072722220304,0.0675824256518282,0.0661700159613563,-12.336161146364667,0.0671721160218261,0.0661238131464525
ZTF23abaxtlq,8,-12.479943384114737,0.07452517424958867,0.10103133176926171,-12.417426875560391,-12.475407958649303,-12.576546058682634,-12.530255054371153,-12.381948523503329,0.2402777350412179,0.1653610486234384,-12.37448339514411,0.2296971448962939,0.1605979177003398,-12.553517559828624,0.1575385005862344,0.1345573058095137,-12.529961647178354,0.1672489766850642,0.1423802974015906
ZTF23abnogui,8,-12.037881707131985,0.06544138008236537,0.09554916902933552,-11.933354751320012,-11.999407666786238,-12.124453089378683,-12.058599559260989,-12.011211233826133,0.1583204861031841,0.090349361709368,-11.970397974417052,0.1564342770460864,0.1037681016180513,-12.11360057995622,0.0470697471623964,0.0404463417771818,-12.092028802110553,0.0502741979733656,0.0427341038121884
